Origen;Destino;Ruta;TiempoViaje;Hora;DíaSemana;Pasajeros;Retraso
Capri;San Fernando;T31;6;1:00:00 p. m.;Viernes;71;0
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;19;9:45:00 p. m.;Lunes;61;4
Estadio;San Fernando;T47A;7;3:45:00 p. m.;Jueves;46;0
Universidades;San Fernando;T47A;6;6:30:00 p. m.;Sábado;97;1
San Fernando;Capri;T31;7;6:45:00 p. m.;Lunes;17;1
Universidades;San Fernando;T47A;5;7:45:00 a. m.;Viernes;59;0
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;15;8:30:00 a. m.;Jueves;76;0
San Fernando;Estadio;T47A;11;7:00:00 a. m.;Viernes;12;4
San Fernando;Estadio;T47A;8;6:00:00 p. m.;Domingo;65;1
San Bosco;Centro;T50;7;3:00:00 p. m.;Domingo;22;2
Centro;San Bosco;T50;6;6:45:00 p. m.;Lunes;71;1
Capri;Centro;T31;15;5:45:00 a. m.;Miércoles;20;5
San Bosco;Centro;T50;7;5:45:00 a. m.;Viernes;42;2
San Fernando;Universidades;T47A;9;9:45:00 p. m.;Martes;91;4
Estadio;San Fernando;T47A;12;2:45:00 p. m.;Miércoles;63;5
Centro;Terminal Andrés Sanín;E21;9;6:45:00 a. m.;Jueves;38;1
Centro;Terminal Andrés Sanín;E21;11;9:00:00 a. m.;Viernes;97;3
Capri;San Fernando;T31;11;9:45:00 p. m.;Viernes;82;5
San Fernando;Estadio;T47A;11;11:45:00 a. m.;Lunes;49;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;16;5:15:00 p. m.;Sábado;99;1
Centro;San Bosco;T50;8;7:15:00 a. m.;Lunes;48;3
Centro;Capri;T31;11;7:30:00 a. m.;Lunes;80;1
Universidades;Meléndez;P21A;6;8:15:00 p. m.;Viernes;34;2
Estadio;San Fernando;T47A;8;9:00:00 p. m.;Viernes;93;1
Estadio;San Bosco;T50;10;3:45:00 p. m.;Jueves;70;4
San Bosco;Centro;T50;7;7:15:00 a. m.;Lunes;48;2
Universidades;Meléndez;P21A;4;3:30:00 p. m.;Sábado;45;0
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;20;3:30:00 p. m.;Viernes;60;5
Unidad Deportiva;Meléndez;P21A;10;2:45:00 p. m.;Sábado;65;5
Universidades;San Fernando;T47A;6;10:45:00 p. m.;Miércoles;66;1
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;18;5:45:00 a. m.;Sábado;41;3
Universidades;Meléndez;P21A;7;2:00:00 p. m.;Viernes;31;3
Centro;Capri;T31;13;1:00:00 p. m.;Martes;60;3
San Fernando;Universidades;T47A;6;9:15:00 p. m.;Sábado;31;1
Universidades;Meléndez;P21A;7;12:15:00 p. m.;Miércoles;69;3
Centro;Terminal Andrés Sanín;E21;8;3:00:00 p. m.;Sábado;11;0
San Fernando;Capri;T31;10;4:45:00 p. m.;Martes;78;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;15;10:30:00 p. m.;Sábado;61;0
San Bosco;Estadio;T50;7;3:15:00 p. m.;Miércoles;87;1
Estadio;San Fernando;T47A;10;8:00:00 p. m.;Sábado;100;3
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;18;10:00:00 p. m.;Jueves;19;3
Centro;San Bosco;T50;8;9:00:00 a. m.;Viernes;53;3
San Fernando;Estadio;T47A;11;12:45:00 p. m.;Martes;15;4
San Fernando;Estadio;T47A;10;1:30:00 p. m.;Sábado;81;3
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;15;9:15:00 a. m.;Domingo;56;0
Estadio;San Fernando;T47A;10;11:00:00 a. m.;Lunes;42;3
Estadio;San Bosco;T50;11;2:00:00 p. m.;Lunes;64;5
Estadio;San Bosco;T50;11;7:15:00 a. m.;Miércoles;16;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;6:45:00 a. m.;Viernes;18;0
Estadio;San Fernando;T47A;9;10:30:00 a. m.;Viernes;31;2
Universidades;Meléndez;P21A;4;4:00:00 p. m.;Sábado;72;0
Capri;Centro;T31;14;9:15:00 a. m.;Sábado;73;4
Estadio;San Bosco;T50;7;5:45:00 p. m.;Miércoles;64;1
Centro;Capri;T31;15;3:30:00 p. m.;Viernes;51;5
San Fernando;Universidades;T47A;6;1:45:00 p. m.;Jueves;14;1
San Fernando;Capri;T31;6;1:30:00 p. m.;Viernes;43;0
Meléndez;Universidades;P21A;4;7:30:00 p. m.;Lunes;93;0
Estadio;San Bosco;T50;6;12:30:00 p. m.;Domingo;33;0
Estadio;San Bosco;T50;9;4:00:00 p. m.;Lunes;89;3
Capri;San Fernando;T31;7;7:15:00 a. m.;Martes;47;1
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;19;11:30:00 a. m.;Domingo;22;4
Estadio;San Fernando;T47A;10;8:15:00 p. m.;Lunes;24;3
Estadio;San Bosco;T50;11;9:45:00 a. m.;Sábado;72;5
Universidades;San Fernando;T47A;10;8:30:00 a. m.;Martes;58;5
Centro;Terminal Andrés Sanín;E21;8;11:45:00 a. m.;Viernes;52;0
San Bosco;Centro;T50;10;6:00:00 p. m.;Viernes;76;5
Capri;Estadio;T31;5;4:15:00 p. m.;Viernes;74;1
Universidades;Meléndez;P21A;4;6:30:00 a. m.;Martes;80;0
